week,team,opponent,home,bye_prior_week,elo1_pre,elo_prob1,tot_dvoa,tot_dave,off_dvoa,def_dvoa,st_dvoa,opp_tot_dvoa,opp_tot_dave,opp_off_dvoa,opp_def_dvoa,opp_st_dvoa,net_tot_dvoa,net_tot_dave,net_off_dvoa,net_def_dvoa,net_st_dvoa,yards-per-play,opponent-yards-per-play,net-yards-per-play,points-per-game,opponent-points-per-game,net-points-per-game,team_score,opp_score,winner,total,margin
2,ARI,LAR,0,0,1445.574198,0.262097688,-0.38,-0.08,-0.33,0.16,0.11,0.55,0.18,0.53,-0.04,-0.02,-0.93,-0.26,-0.86,0.2,0.13,4.2,5.7,-1.5,6,24,-18,0,34,0,34,-34
2,ATL,CAR,1,0,1587.848622,0.620855306,-0.36,0,-0.44,-0.07,0.02,0.24,0.01,0.13,-0.06,0.05,-0.6,-0.01,-0.57,-0.01,-0.03,4.6,3.6,1,12,18,-6,31,24,1,55,7
2,BAL,CIN,0,0,1561.692326,0.496333529,0.8,0.12,0.22,-0.66,-0.08,0.28,0,0.15,-0.09,0.04,0.52,0.12,0.07,-0.57,-0.12,5,2.5,2.5,47,3,44,23,34,0,57,-11
2,BUF,LAC,1,0,1475.794344,0.533072525,-1.31,-0.34,-0.85,0.34,-0.11,-0.17,-0.03,0.58,0.32,-0.42,-1.14,-0.31,-1.43,0.02,0.31,2.5,5,-2.5,3,47,-44,20,31,0,51,-11
2,CAR,ATL,0,0,1567.174456,0.379144694,0.24,0.01,0.13,-0.06,0.05,-0.36,0,-0.44,-0.07,0.02,0.6,0.01,0.57,0.01,0.03,4.8,4.1,0.7,16,8,8,24,31,0,55,-7
2,CHI,SEA,1,0,1438.94776,0.462879101,0.1,-0.09,-0.04,-0.07,0.06,-0.32,-0.01,-0.25,0.08,0.02,0.42,-0.08,0.21,-0.15,0.04,4.5,6.3,-1.8,23,24,-1,24,17,1,41,7
2,CIN,BAL,1,0,1499.240097,0.503666471,0.28,0,0.15,-0.09,0.04,0.8,0.12,0.22,-0.66,-0.08,-0.52,-0.12,-0.07,0.57,0.12,6.6,4.9,1.7,34,23,11,34,23,1,57,11
2,CLE,NO,0,0,1310.717644,0.148454401,-0.26,-0.05,-0.25,-0.16,-0.17,-0.1,0.13,0.49,0.55,-0.03,-0.16,-0.18,-0.74,-0.71,-0.14,3.8,5.9,-2.1,21,21,0,18,21,0,39,-3
2,DAL,NYG,1,0,1530.02675,0.75754541,-0.22,0.05,0.01,0.07,-0.16,-0.1,-0.14,-0.07,-0.02,-0.05,-0.12,0.19,0.08,0.09,-0.11,4.1,4.8,-0.7,8,16,-8,20,13,1,33,7
2,DEN,OAK,1,0,1465.484205,0.634781609,0.36,-0.03,0.16,-0.21,-0.01,-0.43,-0.09,-0.04,0.4,0.01,0.79,0.06,0.2,-0.61,-0.02,6.5,5.6,0.9,27,24,3,20,19,1,39,1
2,DET,SF,0,0,1470.494958,0.422631415,-1.23,-0.14,-0.54,0.24,-0.46,-0.57,-0.1,-0.48,0.07,-0.02,-0.66,-0.04,-0.06,0.17,-0.44,5.1,5.9,-0.8,17,48,-31,27,30,0,57,-3
2,GB,MIN,1,0,1476.634054,0.400094052,0.07,0.1,-0.02,-0.1,-0.01,0.43,0.15,0,-0.41,0.03,-0.36,-0.05,-0.02,0.31,-0.04,6.3,4.5,1.8,24,23,1,29,29,0,58,0
2,HOU,TEN,0,0,1392.595466,0.298109172,-0.01,0.01,-0.13,0.03,0.15,-0.16,-0.02,-0.24,0.04,0.13,0.15,0.03,0.11,-0.01,0.02,4.6,5.4,-0.8,20,27,-7,17,20,0,37,-3
2,IND,WSH,0,0,1382.279534,0.24950968,-0.19,-0.03,-0.04,0.11,-0.04,0.08,0.01,0.08,-0.12,-0.12,-0.27,-0.04,-0.12,0.23,0.08,4.9,6.6,-1.7,23,34,-11,21,9,1,30,12
2,JAX,NE,1,0,1549.380453,0.440266678,0.14,-0.04,-0.03,-0.14,0.02,0.08,0.17,0.1,-0.06,-0.08,0.06,-0.21,-0.13,-0.08,0.1,4.9,5.2,-0.3,20,15,5,31,20,1,51,11
2,KC,PIT,0,0,1598.035615,0.422963948,0.37,0.02,0.43,0.45,0.38,0.12,0.18,-0.09,-0.23,-0.02,0.25,-0.16,0.52,0.68,0.4,6.6,7.3,-0.7,38,28,10,42,37,1,79,5
2,LAC,BUF,0,0,1517.779595,0.466927475,-0.17,-0.03,0.58,0.32,-0.42,-1.31,-0.34,-0.85,0.34,-0.11,1.14,0.31,1.43,-0.02,-0.31,7.3,6.6,0.7,28,38,-10,31,20,1,51,11
2,LAR,ARI,1,0,1560.388471,0.737902312,0.55,0.18,0.53,-0.04,-0.02,-0.38,-0.08,-0.33,0.16,0.11,0.93,0.26,0.86,-0.2,-0.13,6.1,6.2,-0.1,33,13,20,34,0,1,34,34
2,MIA,NYJ,0,0,1469.358591,0.385320516,0.24,-0.04,0.07,-0.31,-0.13,0.9,-0.01,0.16,-0.4,0.34,-0.66,-0.03,-0.09,0.09,-0.47,5.9,5,0.9,27,20,7,20,12,1,32,8
2,MIN,GB,0,0,1612.002483,0.599905948,0.43,0.15,0,-0.41,0.03,0.07,0.1,-0.02,-0.1,-0.01,0.36,0.05,0.02,-0.31,0.04,4.8,5.4,-0.6,24,16,8,29,29,0,58,0
2,NE,JAX,0,0,1656.086591,0.559733322,0.08,0.17,0.1,-0.06,-0.08,0.14,-0.04,-0.03,-0.14,0.02,-0.06,0.21,0.13,0.08,-0.1,5.4,4.6,0.8,27,20,7,20,31,0,51,-11
2,NO,CLE,1,0,1549.163577,0.851545599,-0.1,0.13,0.49,0.55,-0.03,-0.26,-0.05,-0.25,-0.16,-0.17,0.16,0.18,0.74,0.71,0.14,8.1,8.5,-0.4,40,48,-8,21,18,1,39,3
2,NYG,DAL,0,0,1397.115446,0.24245459,-0.1,-0.14,-0.07,-0.02,-0.05,-0.22,0.05,0.01,0.07,-0.16,0.12,-0.19,-0.08,-0.09,0.11,5.2,4.9,0.3,15,20,-5,13,20,0,33,-7
2,NYJ,MIA,1,0,1485.489225,0.614679484,0.9,-0.01,0.16,-0.4,0.34,0.24,-0.04,0.07,-0.31,-0.13,0.66,0.03,0.09,-0.09,0.47,5.9,5.1,0.8,48,17,31,12,20,0,32,-8
2,OAK,DEN,0,0,1434.455526,0.365218391,-0.43,-0.09,-0.04,0.4,0.01,0.36,-0.03,0.16,-0.21,-0.01,-0.79,-0.06,-0.2,0.61,0.02,6.2,6.1,0.1,13,33,-20,19,20,0,39,-1
2,PHI,TB,0,0,1659.578148,0.626388949,0.47,0.15,0.05,-0.42,0,-0.16,-0.07,0.51,0.59,-0.08,0.63,0.22,-0.46,-1.01,0.08,3.6,4.6,-1,18,12,6,21,27,0,48,-6
2,PIT,KC,1,0,1586.995454,0.577036052,0.12,0.18,-0.09,-0.23,-0.02,0.37,0.02,0.43,0.45,0.38,-0.25,0.16,-0.52,-0.68,-0.4,5.9,3.8,2.1,21,21,0,37,42,0,79,-5
2,SEA,CHI,0,0,1529.789551,0.537120899,-0.32,-0.01,-0.25,0.08,0.02,0.1,-0.09,-0.04,-0.07,0.06,-0.42,0.08,-0.21,0.15,-0.04,5.6,6.5,-0.9,24,27,-3,17,24,0,41,-7
2,SF,DET,1,0,1459.691508,0.577368585,-0.57,-0.1,-0.48,0.07,-0.02,-1.23,-0.14,-0.54,0.24,-0.46,0.66,0.04,0.06,-0.17,0.44,5.4,4.8,0.6,16,24,-8,30,27,1,57,3
2,TB,PHI,1,0,1504.808399,0.373611051,-0.16,-0.07,0.51,0.59,-0.08,0.47,0.15,0.05,-0.42,0,-0.63,-0.22,0.46,1.01,-0.08,8.5,8.1,0.4,48,40,8,27,21,1,48,6
2,TEN,HOU,1,0,1476.353157,0.701890828,-0.16,-0.02,-0.24,0.04,0.13,-0.01,0.01,-0.13,0.03,0.15,-0.15,-0.03,-0.11,0.01,-0.02,5,5.9,-0.9,20,27,-7,20,17,1,37,3
2,WSH,IND,1,0,1508.582613,0.75049032,0.08,0.01,0.08,-0.12,-0.12,-0.19,-0.03,-0.04,0.11,-0.04,0.27,0.04,0.12,-0.23,-0.08,5.7,4.2,1.5,24,6,18,9,21,0,30,-12
3,ARI,CHI,1,0,1428.345403,0.545627811,-0.71,-0.18,-0.53,0.12,-0.05,0.2,-0.05,-0.07,-0.21,0.06,-0.91,-0.13,-0.46,0.33,-0.11,3.7,6.1,-2.4,3,29,-26,14,16,0,30,-2
3,ATL,NO,1,0,1603.025766,0.660024622,-0.21,-0.01,-0.11,0.11,0.01,0.01,0.13,0.16,0.1,-0.04,-0.22,-0.14,-0.27,0.01,0.05,5.9,5.2,0.7,21.5,21,0.5,37,43,0,80,-6
3,BAL,DEN,1,0,1537.05401,0.680969969,0.22,0.08,0.05,-0.21,-0.04,0.06,-0.05,0.07,-0.01,-0.01,0.16,0.13,-0.02,-0.2,-0.03,5.1,4,1.1,35,18.5,16.5,27,14,1,41,13
3,BUF,MIN,0,0,1449.021558,0.215037439,-0.94,-0.38,-0.57,0.27,-0.1,0.19,0.13,0.16,-0.17,-0.14,-1.13,-0.51,-0.73,0.44,0.04,3.7,5.6,-1.9,11.5,39,-27.5,27,6,1,33,21
3,CAR,CIN,1,0,1551.997312,0.630889686,0.07,0,0.13,0.11,0.05,0.31,0.04,0.18,-0.09,0.04,-0.24,-0.04,-0.05,0.2,0.01,5.8,5.8,0,20,19.5,0.5,31,21,1,52,10
3,CHI,ARI,0,0,1461.5515,0.454372189,0.2,-0.05,-0.07,-0.21,0.06,-0.71,-0.18,-0.53,0.12,-0.05,0.91,0.13,0.46,-0.33,0.11,4.4,5.3,-0.9,23.5,20.5,3,16,14,1,30,2
3,CIN,CAR,0,0,1523.878414,0.369110314,0.31,0.04,0.18,-0.09,0.04,0.07,0,0.13,0.11,0.05,0.24,0.04,0.05,-0.2,-0.01,5.9,5.1,0.8,34,23,11,21,31,0,52,-10
3,CLE,NYJ,1,0,1307.100523,0.379594007,-0.34,-0.09,-0.31,-0.17,-0.21,0.18,-0.06,-0.23,-0.27,0.14,-0.52,-0.03,-0.08,0.1,-0.35,4.5,5.3,-0.8,19.5,21,-1.5,21,17,1,38,4
3,DAL,SEA,0,0,1539.277921,0.452782854,0.06,0.07,0.09,-0.07,-0.1,-0.24,-0.02,-0.28,-0.05,0,0.3,0.09,0.37,-0.02,-0.1,5,4.3,0.7,14,14.5,-0.5,13,24,0,37,-11
3,DEN,BAL,0,0,1470.335452,0.319030031,0.06,-0.05,0.07,-0.01,-0.01,0.22,0.08,0.05,-0.21,-0.04,-0.16,-0.13,0.02,0.2,0.03,6.3,5.9,0.4,23.5,21.5,2,14,27,0,41,-13
3,DET,NE,1,0,1459.058853,0.355079152,-0.63,-0.14,-0.21,0.2,-0.21,-0.07,0.13,0.06,0.06,-0.07,-0.56,-0.27,-0.27,0.14,-0.14,5.5,5.8,-0.3,22,39,-17,26,10,1,36,16
3,GB,WSH,0,0,1479.681033,0.426091937,-0.12,0.06,-0.02,0.07,-0.03,0.04,0.01,-0.05,-0.16,-0.07,-0.16,0.05,0.03,0.23,0.04,5.6,5.8,-0.2,26.5,26,0.5,17,31,0,48,-14
3,HOU,NYG,1,0,1384.853607,0.588275097,0.16,0.04,0.01,-0.1,0.04,-0.31,-0.18,-0.19,0.1,-0.01,0.47,0.22,0.2,-0.2,0.05,5.7,5.2,0.5,18.5,23.5,-5,22,27,0,49,-5
3,IND,PHI,0,0,1424.44551,0.170597018,-0.1,-0.03,-0.11,-0.02,-0.02,0.15,0.12,0.07,-0.15,-0.07,-0.25,-0.15,-0.18,0.13,0.05,4.8,5.5,-0.7,22,21.5,0.5,16,20,0,36,-4
3,JAX,TEN,1,0,1577.735693,0.713656404,0.24,0,0.12,-0.1,0.03,-0.32,-0.07,-0.24,0.16,0.08,0.56,0.07,0.36,-0.26,-0.05,6,5.1,0.9,25.5,17.5,8,6,9,0,15,-3
3,KC,SF,1,0,1619.233742,0.773247049,0.5,0.08,0.59,0.32,0.22,-0.29,-0.1,-0.2,0.05,-0.04,0.79,0.18,0.79,0.27,0.26,7.4,6.9,0.5,40,32.5,7.5,38,27,1,65,11
3,LAC,LAR,0,0,1544.552381,0.362505303,0.18,0.02,0.37,0.04,-0.15,0.6,0.23,0.25,-0.26,0.08,-0.42,-0.21,0.12,0.3,-0.23,6.9,5.7,1.2,29.5,29,0.5,23,35,0,58,-12
3,LAR,LAC,1,0,1577.617266,0.637494697,0.6,0.23,0.25,-0.26,0.08,0.18,0.02,0.37,0.04,-0.15,0.42,0.21,-0.12,-0.3,0.23,6.3,5,1.3,33.5,6.5,27,35,23,1,58,12
3,MIA,OAK,1,0,1497.404638,0.682321334,0.42,0.03,0.01,-0.41,0.01,-0.09,-0.05,0.09,0.15,-0.03,0.51,0.08,-0.08,-0.56,0.04,5.2,5.4,-0.2,23.5,16,7.5,28,20,1,48,8
3,MIN,BUF,1,0,1608.955504,0.784962561,0.19,0.13,0.16,-0.17,-0.14,-0.94,-0.38,-0.57,0.27,-0.1,1.13,0.51,0.73,-0.44,-0.04,5.9,5.2,0.7,26.5,22.5,4,6,27,0,33,-21
3,NE,DET,0,0,1627.73135,0.644920848,-0.07,0.13,0.06,0.06,-0.07,-0.63,-0.14,-0.21,0.2,-0.21,0.56,0.27,0.27,-0.14,0.14,5.2,5.8,-0.6,23.5,25.5,-2,10,26,0,36,-16
3,NO,ATL,0,0,1552.780698,0.339975378,0.01,0.13,0.16,0.1,-0.04,-0.21,-0.01,-0.11,0.11,0.01,0.22,0.14,0.27,-0.01,-0.05,6.2,7,-0.8,30.5,33,-2.5,43,37,1,80,6
3,NYG,HOU,0,0,1387.864275,0.411724903,-0.31,-0.18,-0.19,0.1,-0.01,0.16,0.04,0.01,-0.1,0.04,-0.47,-0.22,-0.2,0.2,-0.05,4.5,5.4,-0.9,14,20,-6,27,22,1,49,5
3,NYJ,CLE,0,0,1457.443178,0.620405993,0.18,-0.06,-0.23,-0.27,0.14,-0.34,-0.09,-0.31,-0.17,-0.21,0.52,0.03,0.08,-0.1,0.35,5.8,4.8,1,30,18.5,11.5,17,21,0,38,-4
3,OAK,MIA,0,0,1429.604278,0.317678666,-0.09,-0.05,0.09,0.15,-0.03,0.42,0.03,0.01,-0.41,0.01,-0.51,-0.08,0.08,0.56,-0.04,6.2,6,0.2,16,26.5,-10.5,20,28,0,48,-8
